<<<<<<< HEAD
Headline,Source
Hot girl spirits: Megan Thee Stallion debuts Chicas Divertidas tequila,"=HYPERLINK(""https://thegrio.com/"", ""Thegrio"")"
Watch Us,"=HYPERLINK(""https://thegrio.com/"", ""Thegrio"")"
Trending,"=HYPERLINK(""https://www.theroot.com/"", ""Theroot"")"
Watch,"=HYPERLINK(""https://www.theroot.com/"", ""Theroot"")"
Black History Month,"=HYPERLINK(""https://www.theroot.com/"", ""Theroot"")"
Deals of the Day,"=HYPERLINK(""https://www.theroot.com/"", ""Theroot"")"
Entertainment,"=HYPERLINK(""https://www.theroot.com/"", ""Theroot"")"
Latest,"=HYPERLINK(""https://www.theroot.com/"", ""Theroot"")"
Culture,"=HYPERLINK(""https://www.theroot.com/"", ""Theroot"")"
Opinion,"=HYPERLINK(""https://www.theroot.com/"", ""Theroot"")"
Beauty/Style,"=HYPERLINK(""https://www.theroot.com/"", ""Theroot"")"
Viral Stories,"=HYPERLINK(""https://www.theroot.com/"", ""Theroot"")"
✉️Straight from The Root,"=HYPERLINK(""https://www.theroot.com/"", ""Theroot"")"
Bill Withers To Be Honored By West Virginia With Statue And Plaza In His Name,"=HYPERLINK(""https://www.blackenterprise.com/"", ""Blackenterprise"")"
Teen’s Incarceration With Adults In Alabama Draws Criticism,"=HYPERLINK(""https://www.blackenterprise.com/"", ""Blackenterprise"")"
"18-Year-Old Hairstylist Faces Assault Charge After Dragging Client, 15, Across Floor Over Payment Dispute","=HYPERLINK(""https://www.blackenterprise.com/"", ""Blackenterprise"")"
Baltimore Mayor Brandon Scott Announces Birth Of First Daughter On International Women’s Day,"=HYPERLINK(""https://www.blackenterprise.com/"", ""Blackenterprise"")"
Broadway’s ‘Wicked’ Features First Full-Time Black Elphaba,"=HYPERLINK(""https://www.blackenterprise.com/"", ""Blackenterprise"")"
READ MORE »,"=HYPERLINK(""https://www.blackenterprise.com/"", ""Blackenterprise"")"
VIDEOS,"=HYPERLINK(""https://www.blackenterprise.com/"", ""Blackenterprise"")"
EVENTS,"=HYPERLINK(""https://www.blackenterprise.com/"", ""Blackenterprise"")"
Women Of Power Summit 2025,"=HYPERLINK(""https://www.blackenterprise.com/"", ""Blackenterprise"")"
TOP STORIES,"=HYPERLINK(""https://www.blackenterprise.com/"", ""Blackenterprise"")"
Steph Curry’s New Office Headquarters ‘Cements’ His Commitment To San Francisco,"=HYPERLINK(""https://www.blackenterprise.com/"", ""Blackenterprise"")"
HBCU Saint Augustine’s University Loses Accreditation Appeal,"=HYPERLINK(""https://www.blackenterprise.com/"", ""Blackenterprise"")"
"Accused Tupac Killer, Keffe D, Proclaims Innocence In First TV Interview Since Vegas Arrest","=HYPERLINK(""https://www.blackenterprise.com/"", ""Blackenterprise"")"
Jimmy Butler Gifts NBA Hall Of Famer Spike Lee His Shirt After Warriors’ Win Over Knicks Right,"=HYPERLINK(""https://www.blackenterprise.com/"", ""Blackenterprise"")"
"Meghan Markle’s ‘With Love, Meghan’ Renewed By Netflix For Second Season","=HYPERLINK(""https://www.blackenterprise.com/"", ""Blackenterprise"")"
MORE STORIES,"=HYPERLINK(""https://www.blackenterprise.com/"", ""Blackenterprise"")"
Subscribe to Newsletter,"=HYPERLINK(""https://www.blackenterprise.com/"", ""Blackenterprise"")"
GET THE APP,"=HYPERLINK(""https://www.blackenterprise.com/"", ""Blackenterprise"")"
Main Menu,"=HYPERLINK(""https://www.huffpost.com/voices/black-voices"", ""Huffpost"")"
News,"=HYPERLINK(""https://www.huffpost.com/voices/black-voices"", ""Huffpost"")"
Politics,"=HYPERLINK(""https://www.huffpost.com/voices/black-voices"", ""Huffpost"")"
Opinion,"=HYPERLINK(""https://www.huffpost.com/voices/black-voices"", ""Huffpost"")"
Entertainment,"=HYPERLINK(""https://www.huffpost.com/voices/black-voices"", ""Huffpost"")"
Life,"=HYPERLINK(""https://www.huffpost.com/voices/black-voices"", ""Huffpost"")"
Voices,"=HYPERLINK(""https://www.huffpost.com/voices/black-voices"", ""Huffpost"")"
HuffPost Personal,"=HYPERLINK(""https://www.huffpost.com/voices/black-voices"", ""Huffpost"")"
NEW: Games,"=HYPERLINK(""https://www.huffpost.com/voices/black-voices"", ""Huffpost"")"
Horoscopes,"=HYPERLINK(""https://www.huffpost.com/voices/black-voices"", ""Huffpost"")"
Video,"=HYPERLINK(""https://www.huffpost.com/voices/black-voices"", ""Huffpost"")"
From Our Partners,"=HYPERLINK(""https://www.huffpost.com/voices/black-voices"", ""Huffpost"")"
Newsletters,"=HYPERLINK(""https://www.huffpost.com/voices/black-voices"", ""Huffpost"")"
International,"=HYPERLINK(""https://www.huffpost.com/voices/black-voices"", ""Huffpost"")"
Follow Us,"=HYPERLINK(""https://www.huffpost.com/voices/black-voices"", ""Huffpost"")"
MORE FROM HUFFPOST,"=HYPERLINK(""https://www.huffpost.com/voices/black-voices"", ""Huffpost"")"
This Actor Is Reinventing The Rom-Com Heroine,"=HYPERLINK(""https://www.huffpost.com/voices/black-voices"", ""Huffpost"")"
Kelly Clarkson Is Breaking The Internet After Lesbians Notice 1 Subtle Gesture From Her Performance,"=HYPERLINK(""https://www.huffpost.com/voices/black-voices"", ""Huffpost"")"
This Viral TikTok Beauty Trend Needs An Immediate Rebranding,"=HYPERLINK(""https://www.huffpost.com/voices/black-voices"", ""Huffpost"")"
The Stakes Are High And Becky G Is Not Backing Down,"=HYPERLINK(""https://www.huffpost.com/voices/black-voices"", ""Huffpost"")"
This Soccer Star’s Journey Started In A Refugee Camp,"=HYPERLINK(""https://www.huffpost.com/voices/black-voices"", ""Huffpost"")"
Showing Up Gorgeous and Unbothered Is Its Own Act Of Resistance,"=HYPERLINK(""https://www.huffpost.com/voices/black-voices"", ""Huffpost"")"
What It's Really Like Living With Heart Disease,"=HYPERLINK(""https://www.huffpost.com/voices/black-voices"", ""Huffpost"")"
"SZA's Super Bowl Look Reminded Me That We Look Amazing As Redheads, Too","=HYPERLINK(""https://www.huffpost.com/voices/black-voices"", ""Huffpost"")"
This Hit Podcaster Keeps It Extremely Real — And Pop Culture Wouldn't Be The Same Without His Takes,"=HYPERLINK(""https://www.huffpost.com/voices/black-voices"", ""Huffpost"")"
A New Exhibit Tells The Story Of The First Recorded Golf Tournament At This Historically Black Course,"=HYPERLINK(""https://www.huffpost.com/voices/black-voices"", ""Huffpost"")"
Ke Huy Quan Is The Action Hero We Didn't Know We Needed,"=HYPERLINK(""https://www.huffpost.com/voices/black-voices"", ""Huffpost"")"
Jasmine Crockett Struck A Nerve — And Revealed This Uncomfortable Reality About DEI,"=HYPERLINK(""https://www.huffpost.com/voices/black-voices"", ""Huffpost"")"
Black Voices,"=HYPERLINK(""https://www.huffpost.com/voices/black-voices"", ""Huffpost"")"
Disgraced Singer R. Kelly Gives Interview From Behind Bars,"=HYPERLINK(""https://www.huffpost.com/voices/black-voices"", ""Huffpost"")"
Gabrielle Union Shares The 1 Thing That Helps Her Raise A Family,"=HYPERLINK(""https://www.huffpost.com/voices/black-voices"", ""Huffpost"")"
Rep. Jasmine Crockett Delivers Brutal Trump Takedown: 'Stop Being Putin's Ho',"=HYPERLINK(""https://www.huffpost.com/voices/black-voices"", ""Huffpost"")"
DC Police Officers Convicted In Black Man's Death Rehired After Trump Pardon,"=HYPERLINK(""https://www.huffpost.com/voices/black-voices"", ""Huffpost"")"
'Wicked' Costume Designer Makes Oscars History,"=HYPERLINK(""https://www.huffpost.com/voices/black-voices"", ""Huffpost"")"
Halle Berry Plants Payback Smooch On Adrien Brody In Front Of His Girlfriend At Oscars,"=HYPERLINK(""https://www.huffpost.com/voices/black-voices"", ""Huffpost"")"
Jasmine Crockett Masterfully Responds To Whether She's Intimidated By Trump And Musk,"=HYPERLINK(""https://www.huffpost.com/voices/black-voices"", ""Huffpost"")"
Gabrielle Union Reflects On Rejections From Her Career,"=HYPERLINK(""https://www.huffpost.com/voices/black-voices"", ""Huffpost"")"
"Trump Refuses To Talk About 1 Issue In Health Care, And Experts Say The Damage Will Be Vicious","=HYPERLINK(""https://www.huffpost.com/voices/black-voices"", ""Huffpost"")"
Halle Berry Reveals How She Was Mistakenly Diagnosed With Herpes,"=HYPERLINK(""https://www.huffpost.com/voices/black-voices"", ""Huffpost"")"
Remembering Bloody Sunday And The Fight For Voting Rights,"=HYPERLINK(""https://newsone.com/"", ""Newsone"")"
This Site Tracks Everything Project 2025,"=HYPERLINK(""https://newsone.com/"", ""Newsone"")"
The Legacy Of 'Good Trouble',"=HYPERLINK(""https://newsone.com/"", ""Newsone"")"
Alexandria Ocasio-Cortez Cooks Eric Adams At House Hearing,"=HYPERLINK(""https://newsone.com/"", ""Newsone"")"
Donald Trump Admits Elon Musk Is Head Of DOGE,"=HYPERLINK(""https://newsone.com/"", ""Newsone"")"
Rep. Al Green Has Always Been A Gangsta,"=HYPERLINK(""https://newsone.com/"", ""Newsone"")"
MPD Reinstate Officers Trump Pardoned After Black Man Murdered,"=HYPERLINK(""https://newsone.com/"", ""Newsone"")"
8 Essential Roy Ayers Songs Sampled By Hip-Hop,"=HYPERLINK(""https://newsone.com/"", ""Newsone"")"
Florida Karen Talks Herself Into Arrest,"=HYPERLINK(""https://newsone.com/"", ""Newsone"")"
It's Time To Fight MAGA Not Retreat,"=HYPERLINK(""https://newsone.com/"", ""Newsone"")"
LA Times Nixes AI Tool That Downplayed KKK Racism,"=HYPERLINK(""https://newsone.com/"", ""Newsone"")"
Black Cowboys: Heroes Of The Western Frontier,"=HYPERLINK(""https://newsone.com/"", ""Newsone"")"
Is Target’s Stock Value Down Due To The Boycott?,"=HYPERLINK(""https://newsone.com/"", ""Newsone"")"
Notable Black People Who Died In 2025,"=HYPERLINK(""https://newsone.com/"", ""Newsone"")"
Trump Speaks At White Men Gone Wild Conference,"=HYPERLINK(""https://newsone.com/"", ""Newsone"")"
Navigating Personal Finance After A Natural Disaster,"=HYPERLINK(""https://newsone.com/"", ""Newsone"")"
Surviving Trump,"=HYPERLINK(""https://newsone.com/"", ""Newsone"")"
"Nikki Giovanni On History, Banned Books And Joy In Resistance","=HYPERLINK(""https://newsone.com/"", ""Newsone"")"
Trump Rails Over 'Illegal Protests' On College Campuses,"=HYPERLINK(""https://newsone.com/"", ""Newsone"")"
Dysentery Is Making A Comeback Under Trump Administration,"=HYPERLINK(""https://newsone.com/"", ""Newsone"")"
Allisha Watts Murder Case Moving Forward,"=HYPERLINK(""https://newsone.com/"", ""Newsone"")"
Breaking Down Stereotypes: Black People And Smoke Detectors,"=HYPERLINK(""https://newsone.com/"", ""Newsone"")"
Musk Wants Trump To Pardon George Floyd's Killer,"=HYPERLINK(""https://newsone.com/"", ""Newsone"")"
The Black Pilgrims Of Plymouth,"=HYPERLINK(""https://newsone.com/"", ""Newsone"")"
MLK Conspiracy Theories Surrounding His Assassination,"=HYPERLINK(""https://newsone.com/"", ""Newsone"")"
Black Folklore In Video Season 2 Ep 8: The Brothers Of Pine Oak,"=HYPERLINK(""https://newsone.com/"", ""Newsone"")"
Black Folklore In Video: Ghost Town Of Dearfield,"=HYPERLINK(""https://newsone.com/"", ""Newsone"")"
Black Folklore In Video Season 2 Ep 6: Rosewood,"=HYPERLINK(""https://newsone.com/"", ""Newsone"")"
D'Wayne Wiggins Of Tony! Toni! Toné! Passes Away,"=HYPERLINK(""https://newsone.com/"", ""Newsone"")"
Top Rap Mentions Honoring Ramadan,"=HYPERLINK(""https://newsone.com/"", ""Newsone"")"
Ben Stiller Says Obama Turned Down 'Severance' Role,"=HYPERLINK(""https://newsone.com/"", ""Newsone"")"
Rep. Al Green Needs To Be Protected At All Costs,"=HYPERLINK(""https://newsone.com/"", ""Newsone"")"
Donald Trump Lies Before Joint Session of Congress,"=HYPERLINK(""https://newsone.com/"", ""Newsone"")"
Trump Tariffs Have Started: What This Means For You,"=HYPERLINK(""https://newsone.com/"", ""Newsone"")"
Karen Fired For Taunting Server With Trump Deportation,"=HYPERLINK(""https://newsone.com/"", ""Newsone"")"
National Cares Mentoring Movement To Host 10th Annual Gala,"=HYPERLINK(""https://newsone.com/"", ""Newsone"")"
Is DOGE's Massive Layoffs Hurting Black Workers?,"=HYPERLINK(""https://newsone.com/"", ""Newsone"")"
Allen Brooks Becomes Oldest Graduate From Alabama A&M,"=HYPERLINK(""https://newsone.com/"", ""Newsone"")"
Every Black Person Should Follow HillmanTok,"=HYPERLINK(""https://newsone.com/"", ""Newsone"")"
Howard Swimming Program Honored In PBS Documentary,"=HYPERLINK(""https://newsone.com/"", ""Newsone"")"
Stephen A. Smith Is Right About Bronny James,"=HYPERLINK(""https://newsone.com/"", ""Newsone"")"
Trump's Selling Citizenship Like He's In 'The Wire',"=HYPERLINK(""https://newsone.com/"", ""Newsone"")"
Trump’s Anti-DEI Guidance Could Forever Change Education,"=HYPERLINK(""https://newsone.com/"", ""Newsone"")"
Suspect In Tupac Shakur's Murder Now Says He's Innocent,"=HYPERLINK(""https://newsone.com/"", ""Newsone"")"
GED Section: Why Is America Being Led By Failed Businessmen?,"=HYPERLINK(""https://newsone.com/"", ""Newsone"")"
NASW Fight Against President Trump's Harmful Federal Policies,"=HYPERLINK(""https://newsone.com/"", ""Newsone"")"
Former Houston Mayor Sylvester Turner Passes Away at 70,"=HYPERLINK(""https://newsone.com/"", ""Newsone"")"
Rep. Al Green Kicked Out Of Trump's Address To Congress,"=HYPERLINK(""https://newsone.com/"", ""Newsone"")"
Sources Say Caleb Wilson Died During Hazing Ritual,"=HYPERLINK(""https://newsone.com/"", ""Newsone"")"
Michael Jordan Love Letter Heads Past $12K In Auction,"=HYPERLINK(""https://newsone.com/"", ""Newsone"")"
Jason Wilson Breaks Down Preconceived Notions Of Masculinity,"=HYPERLINK(""https://newsone.com/"", ""Newsone"")"
What Are Tariffs And How Will They Impact America?,"=HYPERLINK(""https://newsone.com/"", ""Newsone"")"
Gov. Glenn Youngkin Commutes Killer Cop's Sentence,"=HYPERLINK(""https://newsone.com/"", ""Newsone"")"
Black Trump Supporter Big Mad After Friend Loses Job,"=HYPERLINK(""https://newsone.com/"", ""Newsone"")"
GOP To Get Rid Of Black Lives Matter Plaza,"=HYPERLINK(""https://newsone.com/"", ""Newsone"")"
Could Trump Get Rid Of Interracial Marriage?,"=HYPERLINK(""https://newsone.com/"", ""Newsone"")"
Fact Check: Are Black Women Really Most Educated?,"=HYPERLINK(""https://newsone.com/"", ""Newsone"")"
The 8 Most Infamous U.S. Public Housing Projects,"=HYPERLINK(""https://newsone.com/"", ""Newsone"")"
Ohio 'Karen' Goes Viral For Confronting Black Homeowner,"=HYPERLINK(""https://newsone.com/"", ""Newsone"")"
Quincy Jones Oscars Tribute: Was It Good?,"=HYPERLINK(""https://newsone.com/"", ""Newsone"")"
Sign Up ForThe NewsOne Newsletter,"=HYPERLINK(""https://newsone.com/"", ""Newsone"")"
NewsOne,"=HYPERLINK(""https://newsone.com/"", ""Newsone"")"
Quick Links,"=HYPERLINK(""https://newsone.com/"", ""Newsone"")"
Legal,"=HYPERLINK(""https://newsone.com/"", ""Newsone"")"
Navigation,"=HYPERLINK(""https://andscape.com/"", ""Andscape"")"
Menu,"=HYPERLINK(""https://andscape.com/"", ""Andscape"")"
"Ball Up Top: Quentin Richardson on Phoenix Suns, his ‘Welcome to the NBA’ moment and beef with ‘Above the Rim’","=HYPERLINK(""https://andscape.com/"", ""Andscape"")"
Meek Mill’s verse on Fridayy’s ‘Proud of Me’ is painfully beautiful,"=HYPERLINK(""https://andscape.com/"", ""Andscape"")"
Shedeur Sanders’ confidence at the NFL combine rubbed some the wrong way. It shouldn’t have,"=HYPERLINK(""https://andscape.com/"", ""Andscape"")"
Oregon Ducks’ Deja Kelly chasing hoop and broadcasting dreams,"=HYPERLINK(""https://andscape.com/"", ""Andscape"")"
Phoenix Suns forward Kevin Durant provides veteran mentorship to rookie Ryan Dunn,"=HYPERLINK(""https://andscape.com/"", ""Andscape"")"
March’s best sneaker drops: Your guide to this month’s must-have releases,"=HYPERLINK(""https://andscape.com/"", ""Andscape"")"
"The sad, preventable end to Kyrie Irving’s redemption story","=HYPERLINK(""https://andscape.com/"", ""Andscape"")"
Paolo Banchero diary: We realize that this is a tough stretch,"=HYPERLINK(""https://andscape.com/"", ""Andscape"")"
"For Jackson State coach Margaret Richards, Year 1 on the job has meant new challenges","=HYPERLINK(""https://andscape.com/"", ""Andscape"")"
‘He was older than our fathers’: An oral history of Satchel Paige’s final game at 59,"=HYPERLINK(""https://andscape.com/"", ""Andscape"")"
Texas Southern’s Vernette Skeete draws on wisdom gleaned from Power Four coaches,"=HYPERLINK(""https://andscape.com/"", ""Andscape"")"
‘He was a legend’: An oral history of Satchel Paige’s final game at 59,"=HYPERLINK(""https://andscape.com/"", ""Andscape"")"
SIAC tournament returns to Morehouse with events for fans and changes to format,"=HYPERLINK(""https://andscape.com/"", ""Andscape"")"
Call it a comeback: NFL running back prospects looking to return position to prominence,"=HYPERLINK(""https://andscape.com/"", ""Andscape"")"
Fayetteville State women’s team wins second consecutive CIAA tournament title,"=HYPERLINK(""https://andscape.com/"", ""Andscape"")"
"At NFL combine, Shedeur Sanders and Cam Ward believe they’re next","=HYPERLINK(""https://andscape.com/"", ""Andscape"")"
"In ‘Running Point,’ Jay Ellis taps into his basketball jones","=HYPERLINK(""https://andscape.com/"", ""Andscape"")"
Maryland guard Shyanne Sellers is writing her own story,"=HYPERLINK(""https://andscape.com/"", ""Andscape"")"
Jalen Milroe could follow path of Jalen Hurts in NFL,"=HYPERLINK(""https://andscape.com/"", ""Andscape"")"
Cleveland Cavaliers center Jarrett Allen is confident being an outlier,"=HYPERLINK(""https://andscape.com/"", ""Andscape"")"
Many CIAA coaches’ love for the game took root while playing on conference courts,"=HYPERLINK(""https://andscape.com/"", ""Andscape"")"
Former St. Aug’s player is ready to win after finding a new home at Virginia Union,"=HYPERLINK(""https://andscape.com/"", ""Andscape"")"
Canada’s Liberals to announce Trudeau successor,"=HYPERLINK(""https://www.semafor.com/"", ""Semafor"")"
‘We had to go back to play’: How Hasbro’s Dungeon Master CEO got serious about games,"=HYPERLINK(""https://www.semafor.com/"", ""Semafor"")"
‘We had to go back to play’: How Hasbro’s Dungeon Master CEO got serious about games,"=HYPERLINK(""https://www.semafor.com/"", ""Semafor"")"
Tech leaders pivot away from H-1B visa program after populist revolt,"=HYPERLINK(""https://www.semafor.com/"", ""Semafor"")"
Mike Lawler’s real New York gubernatorial dilemma,"=HYPERLINK(""https://www.semafor.com/"", ""Semafor"")"
The World at a Glance,"=HYPERLINK(""https://www.semafor.com/"", ""Semafor"")"
Rubio’s reckoning: Is he a Trump ‘influencer’ or follower?,"=HYPERLINK(""https://www.semafor.com/"", ""Semafor"")"
Republicans’ next step on Trump agenda could take more than a month,"=HYPERLINK(""https://www.semafor.com/"", ""Semafor"")"
Coastal violence in Syria kills dozens in test for new rulers,"=HYPERLINK(""https://www.semafor.com/"", ""Semafor"")"
"As US retreats from the transatlantic alliance, China and India see an opening","=HYPERLINK(""https://www.semafor.com/"", ""Semafor"")"
Sudan launches case against UAE at the International Court of Justice,"=HYPERLINK(""https://www.semafor.com/"", ""Semafor"")"
European leaders agree €800 billion defense spend in ‘watershed moment’,"=HYPERLINK(""https://www.semafor.com/"", ""Semafor"")"
UK modern slavery cases hit record high amid global crisis,"=HYPERLINK(""https://www.semafor.com/"", ""Semafor"")"
CURIO,"=HYPERLINK(""https://www.semafor.com/"", ""Semafor"")"
Dubai’s parking operators are making a fortune from fines,"=HYPERLINK(""https://www.semafor.com/"", ""Semafor"")"
Sign up for our Newsletters.,"=HYPERLINK(""https://www.semafor.com/"", ""Semafor"")"
Republicans’ next step on Trump agenda could take more than a month,"=HYPERLINK(""https://www.semafor.com/"", ""Semafor"")"
Pope Francis speaks from hospital as prognosis uncertain,"=HYPERLINK(""https://www.semafor.com/"", ""Semafor"")"
Mike Lawler’s real New York gubernatorial dilemma,"=HYPERLINK(""https://www.semafor.com/"", ""Semafor"")"
Rubio’s reckoning: Is he a Trump ‘influencer’ or follower?,"=HYPERLINK(""https://www.semafor.com/"", ""Semafor"")"
House Republican Barr launches full-throated defense of DOGE,"=HYPERLINK(""https://www.semafor.com/"", ""Semafor"")"
House Republicans subpoena Google and YouTube parent,"=HYPERLINK(""https://www.semafor.com/"", ""Semafor"")"
Warren: Democrats should vote for short-term funding bill as government shutdown looms,"=HYPERLINK(""https://www.semafor.com/"", ""Semafor"")"
Warren probes CEOs over their tax break lobbying,"=HYPERLINK(""https://www.semafor.com/"", ""Semafor"")"
"Americans’ sympathy for Israelis lowest in two decades, Gallup survey finds","=HYPERLINK(""https://www.semafor.com/"", ""Semafor"")"
Senate Republicans ask Musk for spending cuts vote,"=HYPERLINK(""https://www.semafor.com/"", ""Semafor"")"
Trump crypto reserve risks undermining Congress’ industry-friendly plans,"=HYPERLINK(""https://www.semafor.com/"", ""Semafor"")"
"US adds 151,000 jobs in February as federal workforce declines","=HYPERLINK(""https://www.semafor.com/"", ""Semafor"")"
Bessent tries to calm the markets — again,"=HYPERLINK(""https://www.semafor.com/"", ""Semafor"")"
Trump gives major tariff reprieve to Canada and Mexico,"=HYPERLINK(""https://www.semafor.com/"", ""Semafor"")"
Novo Nordisk to cut price of Wegovy amid rising weight-loss drug competition,"=HYPERLINK(""https://www.semafor.com/"", ""Semafor"")"
"US trade deficit hit record in January, as growth fears loom large","=HYPERLINK(""https://www.semafor.com/"", ""Semafor"")"
Tech leaders pivot away from H-1B visa program after populist revolt,"=HYPERLINK(""https://www.semafor.com/"", ""Semafor"")"
Anthropic looks to chip and energy strength to secure American AI dominance,"=HYPERLINK(""https://www.semafor.com/"", ""Semafor"")"
"Autonomous driving technology has crossed a threshold, and there’s no going back","=HYPERLINK(""https://www.semafor.com/"", ""Semafor"")"
Apple announces $500B US investment as Trump tariffs loom over tech,"=HYPERLINK(""https://www.semafor.com/"", ""Semafor"")"
Microsoft’s quantum chip creates new state of matter,"=HYPERLINK(""https://www.semafor.com/"", ""Semafor"")"
Corporations dig deeper: using bunkers to secure data (and their CEOs),"=HYPERLINK(""https://www.semafor.com/"", ""Semafor"")"
Barely anyone has outlined emissions cuts. Financiers see that as an opportunity,"=HYPERLINK(""https://www.semafor.com/"", ""Semafor"")"
Europe puts its energy transition on life support,"=HYPERLINK(""https://www.semafor.com/"", ""Semafor"")"
Congress is about to put Biden’s climate strategy to the test,"=HYPERLINK(""https://www.semafor.com/"", ""Semafor"")"
Analysis: Cairo’s Gaza plan won’t fly without Trump,"=HYPERLINK(""https://www.semafor.com/"", ""Semafor"")"
Dubai’s parking operators are making a fortune from fines,"=HYPERLINK(""https://www.semafor.com/"", ""Semafor"")"
Private equity deals in the Middle East see rare fall,"=HYPERLINK(""https://www.semafor.com/"", ""Semafor"")"
Dubai’s expats face a reality check,"=HYPERLINK(""https://www.semafor.com/"", ""Semafor"")"
Analysis: PwC’s Saudi ban is a warning sign,"=HYPERLINK(""https://www.semafor.com/"", ""Semafor"")"
Africa’s creative economy seeks more investors,"=HYPERLINK(""https://www.semafor.com/"", ""Semafor"")"
Startup investor Endeavor Catalyst to expand Africa portfolio,"=HYPERLINK(""https://www.semafor.com/"", ""Semafor"")"
Trump’s Africa team starts to take shape,"=HYPERLINK(""https://www.semafor.com/"", ""Semafor"")"
Africa deepens economic ties with Caribbean,"=HYPERLINK(""https://www.semafor.com/"", ""Semafor"")"
