Source,Destination,Action,Timestamp,Note
"C:\Users\digitalscorpyun\sankofa_temple\Anacostia\freedmen_land_claims or a black_land_justice_scroll.md","C:\Users\digitalscorpyun\sankofa_temple\Anacostia\africana_studies\freedmen_land_claims or a black_land_justice_scroll.md",MOVED,2025-10-31T19:36:50.3763895-07:00,""
"C:\Users\digitalscorpyun\sankofa_temple\Anacostia\kindred.md","C:\Users\digitalscorpyun\sankofa_temple\Anacostia\africana_studies\kindred.md",MOVED,2025-10-31T19:36:50.6600997-07:00,""
"C:\Users\digitalscorpyun\sankofa_temple\Anacostia\matamba_economic_power_ai_era.md","C:\Users\digitalscorpyun\sankofa_temple\Anacostia\africana_studies\matamba_economic_power_ai_era.md",MOVED,2025-10-31T19:36:51.0648551-07:00,""
"C:\Users\digitalscorpyun\sankofa_temple\Anacostia\nzinga_and_the_logic_of_distributed_power_in_ai_ethics.md","C:\Users\digitalscorpyun\sankofa_temple\Anacostia\africana_studies\nzinga_and_the_logic_of_distributed_power_in_ai_ethics.md",MOVED,2025-10-31T19:36:51.1939173-07:00,""
"C:\Users\digitalscorpyun\sankofa_temple\Anacostia\nzinga_diplomacy_ai_ethics.md","C:\Users\digitalscorpyun\sankofa_temple\Anacostia\africana_studies\nzinga_diplomacy_ai_ethics.md",MOVED,2025-10-31T19:36:51.3436454-07:00,""
"C:\Users\digitalscorpyun\sankofa_temple\Anacostia\nzinga_reign_achievements.md","C:\Users\digitalscorpyun\sankofa_temple\Anacostia\africana_studies\nzinga_reign_achievements.md",MOVED,2025-10-31T19:36:51.5254569-07:00,""
"C:\Users\digitalscorpyun\sankofa_temple\Anacostia\ritual_displacement_africa.md","C:\Users\digitalscorpyun\sankofa_temple\Anacostia\africana_studies\ritual_displacement_africa.md",MOVED,2025-10-31T19:36:51.6457906-07:00,""
"C:\Users\digitalscorpyun\sankofa_temple\Anacostia\the_black_jacobins.md","C:\Users\digitalscorpyun\sankofa_temple\Anacostia\africana_studies\the_black_jacobins.md",MOVED,2025-10-31T19:36:51.8609767-07:00,""
"C:\Users\digitalscorpyun\sankofa_temple\Anacostia\the_black_president.md","C:\Users\digitalscorpyun\sankofa_temple\Anacostia\africana_studies\the_black_president.md",MOVED,2025-10-31T19:36:53.3215933-07:00,""
"C:\Users\digitalscorpyun\sankofa_temple\Anacostia\georgia_2020_blueprint.md","C:\Users\digitalscorpyun\sankofa_temple\Anacostia\policy_analysis\georgia_2020_blueprint.md",MOVED,2025-10-31T19:36:53.9185667-07:00,""
"C:\Users\digitalscorpyun\sankofa_temple\Anacostia\governance_index.md","C:\Users\digitalscorpyun\sankofa_temple\Anacostia\policy_analysis\governance_index.md",MOVED,2025-10-31T19:36:54.0553557-07:00,""
"C:\Users\digitalscorpyun\sankofa_temple\Anacostia\medicaid_expansion_battles.md","C:\Users\digitalscorpyun\sankofa_temple\Anacostia\policy_analysis\medicaid_expansion_battles.md",MOVED,2025-10-31T19:36:54.1977297-07:00,""
"C:\Users\digitalscorpyun\sankofa_temple\Anacostia\musk_omb_policies.md","C:\Users\digitalscorpyun\sankofa_temple\Anacostia\policy_analysis\musk_omb_policies.md",MOVED,2025-10-31T19:36:54.3249456-07:00,""
"C:\Users\digitalscorpyun\sankofa_temple\Anacostia\on_tyranny_key_lessons.md","C:\Users\digitalscorpyun\sankofa_temple\Anacostia\policy_analysis\on_tyranny_key_lessons.md",MOVED,2025-10-31T19:36:54.4503226-07:00,""
"C:\Users\digitalscorpyun\sankofa_temple\Anacostia\palestine_discussion.md","C:\Users\digitalscorpyun\sankofa_temple\Anacostia\policy_analysis\palestine_discussion.md",MOVED,2025-10-31T19:36:54.5310987-07:00,""
"C:\Users\digitalscorpyun\sankofa_temple\Anacostia\political_ai.md","C:\Users\digitalscorpyun\sankofa_temple\Anacostia\policy_analysis\political_ai.md",MOVED,2025-10-31T19:36:54.6233670-07:00,""
"C:\Users\digitalscorpyun\sankofa_temple\Anacostia\politics_anticipatory_obedience.md","C:\Users\digitalscorpyun\sankofa_temple\Anacostia\policy_analysis\politics_anticipatory_obedience.md",MOVED,2025-10-31T19:36:55.1252949-07:00,""
"C:\Users\digitalscorpyun\sankofa_temple\Anacostia\prop_50_la_micro_map_overlay_90018.md","C:\Users\digitalscorpyun\sankofa_temple\Anacostia\policy_analysis\prop_50_la_micro_map_overlay_90018.md",MOVED,2025-10-31T19:36:57.8337222-07:00,""
"C:\Users\digitalscorpyun\sankofa_temple\Anacostia\rural_hospital_collapse.md","C:\Users\digitalscorpyun\sankofa_temple\Anacostia\policy_analysis\rural_hospital_collapse.md",MOVED,2025-10-31T19:36:58.1105733-07:00,""
"C:\Users\digitalscorpyun\sankofa_temple\Anacostia\trump_second_term_chaos.md","C:\Users\digitalscorpyun\sankofa_temple\Anacostia\policy_analysis\trump_second_term_chaos.md",MOVED,2025-10-31T19:36:58.3125257-07:00,""
"C:\Users\digitalscorpyun\sankofa_temple\Anacostia\goal_tracker_dashboard.md","C:\Users\digitalscorpyun\sankofa_temple\Anacostia\systems\goal_tracker_dashboard.md",MOVED,2025-10-31T19:36:58.4324269-07:00,""
"C:\Users\digitalscorpyun\sankofa_temple\Anacostia\grandmaster_protocol.md","C:\Users\digitalscorpyun\sankofa_temple\Anacostia\systems\grandmaster_protocol.md",MOVED,2025-10-31T19:36:58.5639351-07:00,""
"C:\Users\digitalscorpyun\sankofa_temple\Anacostia\learning_journal_index.md","C:\Users\digitalscorpyun\sankofa_temple\Anacostia\systems\learning_journal_index.md",MOVED,2025-10-31T19:36:58.7461461-07:00,""
"C:\Users\digitalscorpyun\sankofa_temple\Anacostia\legitimation_loop.md","C:\Users\digitalscorpyun\sankofa_temple\Anacostia\systems\legitimation_loop.md",MOVED,2025-10-31T19:36:59.2460458-07:00,""
"C:\Users\digitalscorpyun\sankofa_temple\Anacostia\manus_session_log.md","C:\Users\digitalscorpyun\sankofa_temple\Anacostia\systems\manus_session_log.md",MOVED,2025-10-31T19:36:59.9832250-07:00,""
"C:\Users\digitalscorpyun\sankofa_temple\Anacostia\od_comply_personality_profile.md","C:\Users\digitalscorpyun\sankofa_temple\Anacostia\systems\od_comply_personality_profile.md",MOVED,2025-10-31T19:37:00.1815715-07:00,""
"C:\Users\digitalscorpyun\sankofa_temple\Anacostia\orchestration_quote_flow.md","C:\Users\digitalscorpyun\sankofa_temple\Anacostia\systems\orchestration_quote_flow.md",MOVED,2025-10-31T19:37:00.4353737-07:00,""
"C:\Users\digitalscorpyun\sankofa_temple\Anacostia\reading_log_schema.md","C:\Users\digitalscorpyun\sankofa_temple\Anacostia\systems\reading_log_schema.md",MOVED,2025-10-31T19:37:01.0960688-07:00,""
"C:\Users\digitalscorpyun\sankofa_temple\Anacostia\rebellion_code_changelog.md","C:\Users\digitalscorpyun\sankofa_temple\Anacostia\systems\rebellion_code_changelog.md",MOVED,2025-10-31T19:37:01.2077795-07:00,""
"C:\Users\digitalscorpyun\sankofa_temple\Anacostia\rebellion_greeting.ps1.md","C:\Users\digitalscorpyun\sankofa_temple\Anacostia\systems\rebellion_greeting.ps1.md",MOVED,2025-10-31T19:37:01.3502237-07:00,""
"C:\Users\digitalscorpyun\sankofa_temple\Anacostia\scorpyun_manifesto.md","C:\Users\digitalscorpyun\sankofa_temple\Anacostia\systems\scorpyun_manifesto.md",MOVED,2025-10-31T19:37:02.1940103-07:00,""
"C:\Users\digitalscorpyun\sankofa_temple\Anacostia\system_audit_index.md","C:\Users\digitalscorpyun\sankofa_temple\Anacostia\systems\system_audit_index.md",MOVED,2025-10-31T19:37:02.4097031-07:00,""
"C:\Users\digitalscorpyun\sankofa_temple\Anacostia\system_software_update_manifest.md","C:\Users\digitalscorpyun\sankofa_temple\Anacostia\systems\system_software_update_manifest.md",MOVED,2025-10-31T19:37:02.5648062-07:00,""
"C:\Users\digitalscorpyun\sankofa_temple\Anacostia\task_dashboard.md","C:\Users\digitalscorpyun\sankofa_temple\Anacostia\systems\task_dashboard.md",MOVED,2025-10-31T19:37:02.7813491-07:00,""
"C:\Users\digitalscorpyun\sankofa_temple\Anacostia\the_lion_of_anacostia_bias_detection.md","C:\Users\digitalscorpyun\sankofa_temple\Anacostia\systems\the_lion_of_anacostia_bias_detection.md",MOVED,2025-10-31T19:37:03.0160684-07:00,""
"C:\Users\digitalscorpyun\sankofa_temple\Anacostia\value_systems.md","C:\Users\digitalscorpyun\sankofa_temple\Anacostia\systems\value_systems.md",MOVED,2025-10-31T19:37:03.1002861-07:00,""
"C:\Users\digitalscorpyun\sankofa_temple\Anacostia\vault_etymology_index.md","C:\Users\digitalscorpyun\sankofa_temple\Anacostia\systems\vault_etymology_index.md",MOVED,2025-10-31T19:37:03.2135336-07:00,""
"C:\Users\digitalscorpyun\sankofa_temple\Anacostia\vault_proxy_grok.md","C:\Users\digitalscorpyun\sankofa_temple\Anacostia\systems\vault_proxy_grok.md",MOVED,2025-10-31T19:37:03.4552621-07:00,""
"C:\Users\digitalscorpyun\sankofa_temple\Anacostia\epistolary_form.md","C:\Users\digitalscorpyun\sankofa_temple\Anacostia\learning\epistolary_form.md",MOVED,2025-10-31T19:37:03.5945602-07:00,""
"C:\Users\digitalscorpyun\sankofa_temple\Anacostia\ethics_case_studies.md","C:\Users\digitalscorpyun\sankofa_temple\Anacostia\learning\ethics_case_studies.md",MOVED,2025-10-31T19:37:03.7138270-07:00,""
"C:\Users\digitalscorpyun\sankofa_temple\Anacostia\hitler_and_the_nazis_evil_on_trial_ep_1_origin_of_evil.md","C:\Users\digitalscorpyun\sankofa_temple\Anacostia\learning\hitler_and_the_nazis_evil_on_trial_ep_1_origin_of_evil.md",MOVED,2025-10-31T19:37:03.7635188-07:00,""
"C:\Users\digitalscorpyun\sankofa_temple\Anacostia\lord_of_the_rings_the_fellowship_of_the_ring.md","C:\Users\digitalscorpyun\sankofa_temple\Anacostia\learning\lord_of_the_rings_the_fellowship_of_the_ring.md",MOVED,2025-10-31T19:37:03.8791286-07:00,""
"C:\Users\digitalscorpyun\sankofa_temple\Anacostia\structure-note-soft-skills-for-it.md","C:\Users\digitalscorpyun\sankofa_temple\Anacostia\learning\structure-note-soft-skills-for-it.md",MOVED,2025-10-31T19:37:04.0279942-07:00,""
"C:\Users\digitalscorpyun\sankofa_temple\Anacostia\resume_healthcare.md","C:\Users\digitalscorpyun\sankofa_temple\Anacostia\people\resume_healthcare.md",MOVED,2025-10-31T19:37:04.1186617-07:00,""
"C:\Users\digitalscorpyun\sankofa_temple\Anacostia\note_three.md","C:\Users\digitalscorpyun\sankofa_temple\Anacostia\_inbox\note_three.md",MOVED,2025-10-31T19:37:04.6051393-07:00,""
"C:\Users\digitalscorpyun\sankofa_temple\Anacostia\online_articles.md","C:\Users\digitalscorpyun\sankofa_temple\Anacostia\_inbox\online_articles.md",MOVED,2025-10-31T19:37:04.6483920-07:00,""
"C:\Users\digitalscorpyun\sankofa_temple\Anacostia\README.md","C:\Users\digitalscorpyun\sankofa_temple\Anacostia\_inbox\README.md",MOVED,2025-10-31T19:37:04.7071545-07:00,""
